state,location,million_plus_city,lat,lon,crash_date,crash_day,article_date,month,vehicle1,vehicle2,killed,injured,age,gender,road_type,crash_type
Maharashtra,Alni,Nil,18.27845745037488,76.00957388786227,2021-12-31,Friday,2022-01-01,January,Car,Tractor,4,0,"70,50,45,23",Both,NH,Head On Collision
Jharkhand,Hariharganj,Nil,24.543681356839087,84.28057070288547,2021-12-31,Friday,2022-01-01,January,Pick Up,Truck,6,18,,Both,NH,Head On Collision
Goa,Dabolim,Nil,15.390068035586197,73.85497360324335,2021-12-30,Thursday,2022-01-01,January,Car,Divider,3,2,"27,24,24",Male,NH,Fixed Object Collision
Tamil Nadu,Triplicane,Chennai,13.067050304037062,80.27014333317551,2021-12-30,Thursday,2022-01-01,January,Pedestrian,Bus,1,0,50,Male,OR,Hit and Run
Tamil Nadu,PS Salai Junction,Chennai,13.039775780916695,80.26465794801,2021-12-30,Thursday,2022-01-01,January,Two Wheeler,Two Wheeler,1,1,,Male,OR,Head On Collision
Rajasthan,Lampolai,Nil,26.64362250050694,74.19299113226057,2021-12-30,Thursday,2022-01-01,January,Two Wheeler,Car,4,2,,,NH,Head On Collision
Rajasthan,Tanot ,Nil,27.793665237757928,70.35519318244828,2021-12-30,Thursday,2022-01-01,January,Car,Car,2,9,,,NH,Head On Collision
Tamil Nadu,Mettupalayam,Coimbatore,11.299962063279324,76.94191717015218,2021-12-30,Thursday,2022-01-01,January,Two Wheeler,Two Wheeler,1,1,29,Female,SH,Hit From Side
Rajasthan,Military Jalipa Cantt,Nil,25.808661598311467,71.40488769828872,2022-01-01,Saturday,2022-01-02,January,Two Wheeler,Truck,1,0,,Male,NH,Others
Telangana,Zaheerabad,Nil,17.692782870071433,77.62231729628967,2021-12-31,Friday,2022-01-02,January,Two Wheeler,Car,4,0,,Both,NH,Head On Collision
Telangana,Nagarkurnool,Nil,16.48884543363603,78.3091303972808,2022-01-01,Saturday,2022-01-02,January,Two Wheeler,Car,2,0,"19,14",Male,SH,Head On Collision
Telangana,Chintapalli,Nil,16.526195268882535,78.59603307218524,2022-01-01,Saturday,2022-01-02,January,Auto Rickshaw,Bus,2,0,,Male,OR,Head On Collision
Rajasthan,Sikar Road,Jaipur,27.011963538352493,75.76932901260889,2022-01-01,Saturday,2022-01-02,January,Pedestrian,Car,1,0,32,Male,NH,Hit and Run
Bihar,Pista Chowk,Nil,25.188347677151736,86.97434233075197,2022-01-01,Saturday,2022-01-02,January,Two Wheeler,Truck,3,0,"21,20,22",Male,SH,Others
Bihar,Sikandarpur,Nil,25.242396484247,86.98888681844828,2022-01-01,Saturday,2022-01-02,January,Two Wheeler,Two Wheeler,2,4,"20,18",Male,OR,Head On Collision
Uttar Pradesh,Muzaffarnagar,Nil,29.47257166225623,77.71737212387585,2022-01-01,Saturday,2022-01-02,January,Bus,Truck,2,2,"75,28",Male,SH,Others
Andhra Pradesh,Arilova,Vizag,17.76444710552003,83.31365612724099,2022-01-01,Saturday,2022-01-02,January,Two Wheeler,Two Wheeler,3,1,"21,16,21",Male,OR,Head On Collision
Tamil Nadu,Injambakkam,Chennai,12.917305822072388,80.25066287055597,2021-12-31,Friday,2022-01-02,January,Two Wheeler,Divider,1,0,21,Male,SH,Fixed Object Collision
Tamil Nadu,Sitra Junction,Coimbatore,11.038158152772835,77.03756589670454,2022-01-01,Saturday,2022-01-03,January,Two Wheeler,Bus,1,0,47,Male,NH,Hit From Side
Maharashtra,Targhar ,Mumbai,18.991748018503824,73.03711475232855,2022-01-01,Saturday,2022-01-03,January,Two Wheeler,Unidentified,1,1,24,Female,NH,Hit and Run
Maharashtra,Ulwe Bridge,Mumbai,18.976004872607675,73.03152779361652,2022-01-01,Saturday,2022-01-03,January,Two Wheeler,Unidentified,1,0,46,Male,OR,Hit and Run
Karnataka,Hokrani Cross,Nil,16.572508890221638,75.9754540804605,2022-01-02,Sunday,2022-01-03,January,Car,Two Wheeler,1,4,31,Female,SH,Others
Karnataka,Bevur Cross,Nil,14.89006685560942,76.22398648067914,2022-01-02,Sunday,2022-01-03,January,Car,Nil,1,7,47,Female,SH,Vehicle Overturn
Karnataka,Sidedahalli,Bengaluru,13.066746957230484,77.50327116691861,2022-01-02,Sunday,2022-01-04,January,Two Wheeler,Truck,1,0,55,Male,SH,With Parked Vehicle
Karnataka,Nagavara,Bengaluru,13.040914155489356,77.61704511801918,2022-01-02,Sunday,2022-01-04,January,Two Wheeler,Pole,1,1,27,Male,NH,Fixed Object Collision
Kerala,Peroorkada,Thiruvananthapuram,8.541149770701736,76.97003582907308,2022-01-04,Tuesday,2022-01-04,January,Two Wheeler,Tree,3,0,"16,16,16",Male,SH,Fixed Object Collision
Maharashtra,Vhanali,Nil,16.5081867897076,74.22019958556264,2022-01-02,Sunday,2022-01-04,January,Truck,Tractor,2,6,"75,28",Male,OR,Hit From Side
Gujarat,Bala,Nil,22.776769204616333,71.72962248310266,2022-01-04,Tuesday,2022-01-05,January,Car,Nil,2,0,"67,62",Both,SH,Run Off Road
Gujarat,Gondal,Nil,21.97278752577793,70.78862073790624,2022-01-03,Monday,2022-01-05,January,Car,Truck,2,0,,,NH,Head On Collision
Gujarat,Dhrol,Nil,22.56034861853684,70.4258539831936,2022-01-03,Monday,2022-01-05,January,Two Wheeler,Bus,2,0,"18,25",Male,SH,Others
Maharashtra,Undri,Pune,18.45072219760597,73.91614459634192,2022-01-03,Monday,2022-01-05,January,Car,Truck,1,0,50,Male,NH,Hit From Back
Maharashtra,Katraj-Dehu Bypass,Pune,18.486331175038483,73.79708554934217,2022-01-02,Sunday,2022-01-05,January,Two Wheeler,Unidentified,1,0,36,Male,NH,Hit and Run
Uttarakhand,Gadar Juddda,Nil,29.794701671789223,77.83802738617437,2022-01-04,Tuesday,2022-01-05,January,Two Wheeler,Truck,2,1,"33,30",Both,OR,Others
Uttar Pradesh,Gomtinagar,Lucknow,26.847744161614127,81.00770583339522,2022-01-02,Sunday,2022-01-05,January,Pedestrian,Unidentified,1,0,28,Male,NH,Hit and Run
Uttar Pradesh,Purvanchal Expressway Sultanpur,Nil,26.23244327782419,82.075673988543,2022-01-06,Thursday,2022-01-06,January,SUV,Divider,4,2,40,Both,NH,Fixed Object Collision
Madhya Pradesh,Shantinagar,Indore,22.69729187357254,75.90860390970307,2022-01-04,Tuesday,2022-01-06,January,Two Wheeler,Two Wheeler,1,2,60,Female,OR,Others
Madhya Pradesh,Manpur,Nil,22.43115195743422,75.61763951190622,2022-01-04,Tuesday,2022-01-06,January,Two Wheeler,Nil,1,0,25,Male,NH,Run Off Road
Kerala,Santhipuram,Nil,9.478253797120738,76.63121917622244,2022-01-05,Wednesday,2022-01-06,January,Auto Rickshaw,Nil,1,0,34,Male,OR,Run Off Road
Uttar Pradesh,Hatherua Turn,Nil,26.172269871051377,79.96053447979006,2022-01-06,Thursday,2022-01-07,January,Car,Tree,3,0,"25,20,21",Male,SH,Fixed Object Collision
Andhra Pradesh,Lambasingi,Nil,17.819637365225628,82.4917244273879,2022-01-06,Thursday,2022-01-07,January,Two Wheeler,Lorry,1,1,13,Male,NH,Others
Telangana,Patancheru,Nil,17.52559528053733,78.27114402473659,2022-01-05,Wednesday,2022-01-07,January,Auto Rickshaw,Divider,3,2,"24,34,26",Male,NH,Fixed Object Collision
Karnataka,ORR PES College,Bengaluru,12.93497388725656,77.53145535271094,2022-01-06,Thursday,2022-01-08,January,Two Wheeler,Divider,2,0,"28,30",Male,SH,Fixed Object Collision
Karnataka,Nagarbhavi Junction,Bengaluru,12.967955279692166,77.52407059158364,2022-01-06,Thursday,2022-01-08,January,Two Wheeler,Divider,1,0,38,Male,OR,Fixed Object Collision
Uttarakhand,Chinyalisour,Nil,30.56554678240335,78.32522300136368,2022-01-06,Thursday,2022-01-08,January,Car,Gorge,1,4,40,Male,NH,Vehicle Overturn
Uttarakhand,Sahaspur Bridge,Nil,30.38157293024726,77.79771572590872,2022-01-07,Friday,2022-01-08,January,Car,Nil,1,1,25,Male,OR,Run Off Road
Karnataka,NICE Road,Bengaluru,12.858376301854657,77.52802094205354,2022-01-07,Friday,2022-01-08,January,SUV,Truck,4,0,"25,25,30,27",Both,OR,Hit From Back
Gujarat,Sola Overbridge,Ahmedabad,23.059882776138668,72.52057320671621,2022-01-07,Friday,2022-01-08,January,SUV,Truck,1,0,20,Male,NH,Hit From Back
Andhra Pradesh,Gopalapuram,Nil,17.10266311413749,81.54442477542945,2022-01-08,Saturday,2022-01-09,January,Two Wheeler,Tractor,1,0,,Male,NH,Others
Andhra Pradesh,Jeelkunta,Nil,17.033617916586227,80.64713177640807,2022-01-08,Saturday,2022-01-09,January,Two Wheeler,Car,1,0,,Male,NH,Head On Collision
Maharashtra,Nandgaon,Nil,20.31379687035904,74.66384510003404,2022-01-09,Sunday,2022-01-09,January,Bus,Truck,4,14,72,Both,SH,Head On Collision
Gujarat,Botad,Nil,22.17985011402323,71.65078918083432,2022-01-09,Sunday,2022-01-10,January,Van,Unidentified,5,10,,,SH,Hit and Run
Andhra Pradesh,Sheekanagar,Vizag,17.716464062931237,83.20411089794794,2022-01-09,Sunday,2022-01-10,January,Two Wheeler,Two Wheeler,1,0,24,Male,SH,Others
Gujarat,Botad,Nil,22.15122333271011,71.65877930084991,2022-01-09,Sunday,2022-01-10,January,Van,Unidentified,5,10,"27, 48",Both,NH,Others
Chhattisgarh,Lawan,Nil,21.644400876907135,82.34278934682449,2022-01-09,Sunday,2022-01-10,January,SUV,Nil,1,5,,Female,NH,Run Off Road
Maharashtra,Mumbai Naka,Mumbai,19.9864533330699,73.78419165143977,2022-01-09,Sunday,2022-01-10,January,Bicycle,Unidentified,1,0,63,Male,NH,Others
Karnataka,Kumbalagodu,Nil,12.879137929078608,77.4456388022993,2022-01-10,Monday,2022-01-11,January,Two Wheeler,Truck,6,0,"44,40,14,29",Both,NH,Others
Maharashtra,Navale Bridge,Pune,18.46087329898162,73.82215405131329,2022-01-10,Monday,2022-01-11,January,Two Wheeler,Truck,1,1,30,Female,NH,Hit From Back
Karnataka,Arjunahalli Gate,Nil,12.52753677679566,76.3833438370817,2022-01-09,Sunday,2022-01-11,January,Two Wheeler,Truck,2,1,"32,40",Male,OR,Hit and Run
Rajasthan,Kishangarh,Nil,26.589105945186247,74.85948627660595,2022-01-09,Sunday,2022-01-11,January,Two Wheeler,Truck,1,1,20,Female,NH,Others
Maharashtra,Mirchi Hotel,Nashik,20.00678053729021,73.8291134262243,2022-01-09,Sunday,2022-01-12,January,Two Wheeler,Truck,1,0,41,Male,OR,Others
Maharashtra,RTO Office ,Nashik,20.033277226299347,73.79524144570404,2022-01-09,Sunday,2022-01-12,January,Two Wheeler,Pole,1,0,42,Male,NH,Fixed Object Collision
Maharashtra,Nashik Road,Nashik,19.96973794288776,73.81769001774795,2022-01-09,Sunday,2022-01-12,January,Two Wheeler,Two Wheeler,2,0,26,Male,SH,Head On Collision
Andhra Pradesh,Adigoppula,Nil,16.436925517988787,79.61217474801305,2022-01-11,Tuesday,2022-01-12,January,Car,Canal,3,0,,,SH,Run Off Road
Karnataka,Konankunte Cross,Bengaluru,12.889577748612352,77.56353894092923,2022-01-09,Sunday,2022-01-13,January,Pedestrian,Unidentified,1,1,6,Female,OR,Hit and Run
Haryana,Atlas Chowk,Nil,28.49043013078424,77.08153241633956,2022-01-12,Wednesday,2022-01-13,January,Car,Truck,1,0,27,Male,NH,With Parked Vehicle
Karnataka,Budihal Cross,Nil,13.130457182123903,77.35974095043811,2022-01-12,Wednesday,2022-01-14,January,Two Wheeler,Pick Up,1,0,19,Male,NH,Others
Karnataka,Kananakatte,Nil,14.553328636829782,76.43302899167439,2022-01-14,Friday,2022-01-14,January,Car,Divider,7,0,,,NH,Fixed Object Collision
Karnataka,Vajarahalli Cross,Bengaluru,12.874086694098173,77.54072195604662,2022-01-13,Thursday,2022-01-14,January,Two Wheeler,Truck,1,1,6,Female,OR,Others
Madhya Pradesh,Bicholi Mardana,Indore,22.70824432220356,75.92920211827541,2022-01-13,Thursday,2022-01-14,January,Two Wheeler,Pick Up,3,3,26,Both,NH,Others
Maharashtra,Ratnamala Square ,Nil,20.23465588078181,79.01543924056895,2022-01-14,Friday,2022-01-15,January,Bus,Truck,2,12,,,NH,Head On Collision
Kerala,Pozhiyoor,Nil,8.30188369743812,77.09326536242052,2022-01-14,Friday,2022-01-15,January,Pedestrian,Unidentified,1,0,45,Male,OR,Hit and Run
West Bengal,Kolkata Airport,Kolkata,22.64953470429659,88.43818561245637,2022-01-14,Friday,2022-01-15,January,Tractor,Nil,1,0,,Male,OR,Vehicle Overturn
Kerala,Kakkanad,Nil,10.011092687874315,76.3421924153654,2022-01-14,Friday,2022-01-15,January,Two Wheeler,Divider,1,1,19,Male,SH,Fixed Object Collision
Goa,Colva ,Nil,15.281550861387068,73.94696758933536,2022-01-15,Saturday,2022-01-16,January,Two Wheeler,Car,2,0,"30,30",Male,OR,Others
Rajasthan,Chimrani,Nil,27.11896896428953,73.67248311917048,2022-01-15,Saturday,2022-01-16,January,Car,Bus,5,2,"22,12,10,10,65",Both,NH,Others
Gujarat,Vatva,Ahmedabad,22.961108702798008,72.61966017499154,2022-01-15,Saturday,2022-01-16,January,Two Wheeler,Unidentified,2,0,,Both,OR,Hit and Run
Madhya Pradesh,Laklaka,Nil,23.523684332362315,79.37929010088607,2022-01-16,Sunday,2022-01-17,January,Two Wheeler,Two Wheeler,3,2,"20,28,25",Male,OR,Head On Collision
Madhya Pradesh,Mandla,Nil,22.601570130287165,80.38020370045963,2022-01-16,Sunday,2022-01-17,January,Tractor,Nil,3,0,"18,18,17",Male,SH,Run Off Road
Madhya Pradesh,Sailana,Nil,23.459623017585365,74.92905852422956,2022-01-16,Sunday,2022-01-17,January,Pedestrian,Car,1,0,,Female,OR,Hit and Run
Punjab,Jandiali,Nil,31.21441147347508,75.62514255479414,2022-01-15,Saturday,2022-01-17,January,Two Wheeler,Car,2,1,"17,16",Male,OR,Hit From Back
Uttar Pradesh,Sahson Crossing,Nil,25.484100715535924,81.97930524084148,2022-01-17,Monday,2022-01-18,January,Pedestrian,Van,1,0,45,Male,SH,Hit and Run
Uttar Pradesh,Gurukul Vidhyala Road,Prayagraj,25.513167610968463,81.8661763224527,2022-01-17,Monday,2022-01-18,January,Truck,Canal,1,1,31,Male,NH,Vehicle Overturn
Maharashtra,Powai,Mumbai,19.121440192297,72.90781946380115,2022-01-16,Sunday,2022-01-18,January,Two Wheeler,Truck,1,2,47,Female,OR,Others
Rajasthan,Khanpur,Nil,24.76730676338609,76.39400027518448,2022-01-18,Tuesday,2022-01-19,January,Nil,Nil,1,2,25,Male,NH,Others
Uttar Pradesh,Katesar,Nil,27.76748297692978,80.84767138661462,2022-01-18,Tuesday,2022-01-19,January,Two Wheeler,Truck,1,1,40,Male,SH,Hit From Side
Maharashtra,Hotel Shetkari Mala ,Pune,18.553896418910423,73.7243675904804,2022-01-16,Sunday,2022-01-19,January,Two Wheeler,Nil,1,0,35,Male,OR,Run Off Road
Maharashtra,Oberoi Mall,Mumbai,19.17442005976027,72.85976934887162,2022-01-15,Saturday,2022-01-20,January,Two Wheeler,Truck,2,1,"25,2",Both,OR,Head On Collision
Rajasthan,Pali Wala,Nil,29.449454153821858,73.87581502395967,2022-01-20,Thursday,2022-01-20,January,Truck,Truck,3,0,24,Male,NH,Head On Collision
Maharashtra,Tardoli,Nil,18.26150912534684,74.3476151574748,2022-01-18,Tuesday,2022-01-20,January,Car,Tractor,3,1,"48,62,24",Both,OR,Hit From Back
Rajasthan,Road 17 VKI,Jaipur,26.921072245843384,75.80705975340842,2022-01-19,Wednesday,2022-01-20,January,Bus,Truck,2,5,,Both,OR,Head On Collision
Andhra Pradesh,Veeraghattam,Nil,18.687104227193668,83.61095538153519,2022-01-19,Wednesday,2022-01-21,January,Two Wheeler,Culvert,1,0,40,Male,SH,Fixed Object Collision
Andhra Pradesh,Meliaputti,Nil,18.77406040183497,84.17383431188013,2022-01-19,Wednesday,2022-01-21,January,Pedestrian,Van,1,0,40,Male,SH,Hit From Side
Madhya Pradesh,Hotel Sheraton,Indore,22.7741266742808,75.93616228783264,2022-01-19,Wednesday,2022-01-21,January,Pedestrian,Truck,1,0,50,Male,NH,Hit and Run
Gujarat,Naranpura,Ahmedabad,23.056229102084117,72.54839248535511,2022-01-21,Friday,2022-01-22,January,Two Wheeler,Truck,1,1,52,Male,NH,Hit From Back
Karnataka,KR Puram,Bengaluru,13.013395634204327,77.69952194675402,2022-01-21,Friday,2022-01-22,January,Pedestrian,Truck,1,0,28,Male,NH,Hit and Run
Maharashtra,Shewalwadi,Pune,18.496302418026232,73.97119797630161,2022-01-20,Thursday,2022-01-22,January,Two Wheeler,Unidentified,1,2,21,Male,NH,Hit and Run
Odisha,Bidu,Nil,21.28144345287941,86.69191416872226,2022-01-22,Saturday,2022-01-23,January,Bus,Truck,6,20,,Both,OR,Hit From Back
